pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_telescope,ra,dec,glon,glat,elon,elat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_trandep,pl_tranmid,pl_trandur,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gmag,sy_gaiamag,sy_tmag,pl_controv_flag,st_metratio,st_spectype,sy_kepmag,st_rotp,pl_projobliq,x,y,z,htm20,pl_rvamp,pl_radj,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,sy_icmag,rowupdate,pl_pubdate,releasedate,dkin_flag,pl_imppar,pl_cmassj,pl_cmasse,pl_massj,pl_masse,pl_bmassj,pl_bmasse,pl_bmassprov,pl_msinij,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_nnotes,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,st_spectype_simp,is_rocky,pl_radius_for_esi,pl_esi,pl_hza,pl_hzc,pl_hzd,pl_type
11 UMi b,b,11 UMi,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,1,2009-10,2009,Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,229.2745954,71.8239428,108.719,41.04437,141.64699,74.95821,516.21997,,1.53,,,0.08,,,,,,,,,,,,-0.29,0.143,1.894,1.787,,4.56216,3.82294,0,[Fe/H],,,,,-0.2035190558997765,-0.2364006292197516,0.9501024873086952,773434278,189.7,,,,,,,2018-09-04,2017-03,2018-09-06,0,,,,,,14.74,4684.8142,Msini,14.74,4684.8142,4213.0,-0.02,,,,1.93,,2.78,,29.79,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,1,1,0,0,0,0,0,10.6790187,3.42996,10.1132,7.95388,125.321,6.382,5.013,2.876,2.091,1.939,,0,16.732626762685282,,,,,Unknown
14 And b,b,14 And,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,1,2008-12,2008,Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,352.82415,39.2358367,106.41269,-21.05141,11.95935,38.22901,186.76,0.0,0.775,,2452853.0,0.0,,,,,,,,,,,,,,,,,4.91781,4.3214,0,[Fe/H],K0 III,,,,0.7684823216852471,-0.0967528291796575,0.6325138823006057,-1142888405,86.08,,,,,,,2023-09-19,2023-08,2023-09-19,0,,,,,,3.559,1131.1513,Msini,3.559,1131.1513,4888.0,-0.21,,,1.84,2.55,,1.78,,11.55,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,1,0,0,1,1,0,0,0,0,0,299.2526179,287.292,-83.7582,13.2289,75.4392,6.256,5.23133,3.019,2.608,2.331,K,0,10.419340551618284,,,,-1.2954682595949347,Unknown
14 Her b,b,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,1,2003-01,2002,Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope,242.6021014,43.8163621,69.16849,46.94447,223.24717,62.87885,1765.0389,23.043,2.774,144.652,2449614.563,0.373,,,,,,,,,,,,,,,,,6.383,5.8631,0,,,,,,-0.3320394307354803,-0.6406265041972723,0.6923492605302907,-1209154781,89.582,,,,,,,2023-06-12,2022-09,2023-06-12,0,,,,8.053,2559.47216,8.053,2559.47216,Mass,,,,,,,,,,0.91,,,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,4,1,0,0,0,0,324.5303062,132.019,-296.464,55.7363,17.9323,7.495,6.61935,5.158,4.803,4.714,,0,13.678867307012204,,,,,Unknown
16 Cyg B b,b,16 Cyg B,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,1,1997-07,1996,Radial Velocity,Ground,Multiple Observatories,Multiple Telescopes,295.4656422,50.5168243,83.33558,13.20446,321.21176,69.46803,798.5,,1.66,,,0.68,,,,,,,,,,,,4.773,4.568,4.926,4.713,,6.06428,5.6281,0,[Fe/H],,6.095,,,0.2733969771383085,-0.5740743568792221,0.7718113277643329,-355575805,50.5,,,,,,,2018-09-04,2017-03,2018-09-06,0,,,,,,1.78,565.7374,Msini,1.78,565.7374,5750.0,0.06,,,,4.36,,1.08,,1.13,0,0,0,1,0,0,0,0,0,0,Published Confirmed,3,1,0,0,1,4,3,0,0,0,5,211.1222128,-134.791,-162.493,47.2754,21.1397,6.876,6.215,4.993,4.695,4.651,,0,8.270624369527114,,,,,Unknown
18 Del b,b,18 Del,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,1,2008-06,2008,Radial Velocity,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,314.6078375,10.8391378,58.69121,-21.9748,320.58706,26.78678,982.85,64.11,2.476,,2454356.1,0.024,,,,,,,,,,,,3.37,2.931,3.355,3.308,,5.27476,4.7181,0,[Fe/H],G6 III,,,,0.6897216116132373,-0.6992284661410433,0.1880522550029175,96017776,114.96,,,,,,,2023-09-19,2023-08,2023-09-19,0,,,,,,9.207,2926.24614,Msini,9.207,2926.24614,4980.0,-0.06,,,1.634,2.87,,2.1,,8.8,0,0,0,1,0,0,0,0,0,0,Published Confirmed,2,1,0,0,1,1,0,0,0,0,2,60.6038527,-50.0335,-34.1976,13.0922,76.222,6.43,5.51048,4.032,3.44,3.366,G,0,14.30332317179064,,,,1.121101337310481,Unknown
24 Sex b,b,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,1,2011-01,2010,Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,155.8684866,-0.9023998,245.08569,44.7158,157.99391,-10.19818,452.8,9.2,1.333,,2454762.0,0.09,,,,,,,,,,,,4.094,3.598,4.254,4.201,,6.20374,5.6416,0,[Fe/H],,,,,-0.912496264716444,0.4087817629087819,-0.0157491965422442,366617760,40.0,,,,,,,2014-05-14,2011-01,2014-05-14,0,,,,,,1.99,632.46,Msini,1.99,632.46,5098.0,-0.03,,2.77,1.164,3.5,2.7,1.54,,4.9,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,2,1,0,0,0,0,74.6277468,65.2199,-36.2721,13.8488,72.0691,7.399,6.4535,5.292,4.486,4.285,,0,8.583762402488805,,,,-0.1044173475910347,Unknown
24 Sex c,c,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,1,2011-01,2010,Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,155.8684866,-0.9023998,245.08569,44.7158,157.99391,-10.19818,883.0,220.5,2.08,,2454930.0,0.29,,,,,,,,,,,,4.094,3.598,4.254,4.201,,6.20374,5.6416,0,[Fe/H],,,,,-0.912496264716444,0.4087817629087819,-0.0157491965422442,366617760,14.5,,,,,,,2014-05-14,2011-01,2014-05-14,0,,,,,,0.86,273.32,Msini,0.86,273.32,5098.0,-0.03,,2.77,1.164,3.5,2.7,1.54,,4.9,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,2,0,0,1,2,1,0,0,0,0,74.6277468,65.2199,-36.2721,13.8488,72.0691,7.399,6.4535,5.292,4.486,4.285,,0,6.489687790407236,,,,1.1350421029161557,Unknown
30 Ari B b,b,30 Ari B,HD 16232,HIP 12184,TIC 22874788,Gaia DR2 102082477749475200,1,2009-12,2009,Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,39.2412736,24.6480103,151.47681,-32.3093,44.56452,8.85457,335.10001,,0.99,,,0.29,,,,,,,,,,,,5.963,5.669,5.825,5.679,,6.96085,6.604,0,[Fe/H],,,,,0.7039229614312273,0.5749504266372529,0.4170425293414709,1877686969,272.0,,,,,,,2018-09-04,2017-03,2018-09-06,0,,,,,,13.82,4392.4106,Msini,13.82,4392.4106,6331.0,0.19,,,,4.43,,1.93,,1.41,0,0,0,1,0,0,0,0,0,0,Published Confirmed,4,1,0,0,1,1,0,0,0,0,5,141.8135318,141.411,-10.6774,22.3641,44.657,7.458,7.09209,6.08,5.908,5.822,,0,16.376998540136384,,,,,Unknown
42 Dra b,b,42 Dra,HD 170693,HIP 90344,TIC 233721425,Gaia DR2 2256800156348230400,1,2009-06,2008,Radial Velocity,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,276.4975053,65.5633652,95.41912,27.12504,342.26846,87.18291,479.1,218.7,1.19,,2452757.4,0.38,,,,,,,,,,,,-0.152,0.372,2.022,1.892,,4.43216,3.7535,0,[Fe/H],K1.5 III,,,,0.0468127600462638,-0.4110294358028017,0.9104193365699574,-662553010,110.5,,,,,,,2014-05-14,2009-06,2014-05-14,0,,,,,,3.88,1233.13,Msini,3.88,1233.13,4200.0,-0.46,,1.0,,1.71,9.49,0.98,,22.03,0,0,0,1,0,0,0,0,0,0,Published Confirmed,2,1,0,0,1,1,0,0,0,0,1,108.2005422,105.248,-25.1041,11.0061,90.6545,6.005,4.8262,2.949,2.197,2.085,K,0,10.7234933758423,,,,,Unknown
47 UMa b,b,47 UMa,HD 95128,HIP 53721,TIC 21535479,Gaia DR2 777254360337133312,1,1996-06,1996,Radial Velocity,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,164.8647611,40.4304931,175.78305,63.3677,149.06831,31.06122,1078.0,334.0,2.1,,2451917.0,0.032,,,,,,,,,,,,,,,,,4.87837,4.4698,0,[M/H],,,,,-0.7347891692746604,0.198746236509067,0.6485251037470611,-1763902354,48.4,,,,,,,2014-05-14,2010-04,2014-05-14,0,,,,,,2.53,804.08,Msini,2.53,804.08,5872.0,0.04,,,0.198,4.3,,1.06,0.8366,1.21,0,0,0,1,0,0,0,0,0,0,Published Confirmed,1,3,0,0,1,9,3,0,0,0,0,322.3708569,-317.642,55.0139,72.4528,13.7967,5.646,5.03352,3.96,3.736,3.75,,0,9.298932316632651,,,,6.766903917058456,Unknown
